dia	mes	ano	chuva
3	4	2022	0.0
2	4	2022	0.0
1	4	2022	0.0
31	3	2022	0.0
30	3	2022	0.0
29	3	2022	0.0
28	3	2022	0.0
27	3	2022	0.0
26	3	2022	0.0
25	3	2022	0.0
24	3	2022	0.0
23	3	2022	0.0
22	3	2022	0.0
21	3	2022	0.0
20	3	2022	0.0
19	3	2022	0.0
18	3	2022	0.0
17	3	2022	0.0
16	3	2022	0.0
15	3	2022	0.0
14	3	2022	0.0
13	3	2022	0.0
12	3	2022	0.0
11	3	2022	0.0
10	3	2022	0.0
9	3	2022	0.0
8	3	2022	0.0
7	3	2022	0.0
6	3	2022	0.0
5	3	2022	0.0
4	3	2022	0.0
3	3	2022	0.0
2	3	2022	0.0
1	3	2022	0.0
28	2	2022	0.0
27	2	2022	0.0
26	2	2022	0.0
25	2	2022	0.0
24	2	2022	0.0
23	2	2022	0.0
22	2	2022	0.0
21	2	2022	0.0
20	2	2022	0.0
19	2	2022	23.7
18	2	2022	4.3
17	2	2022	5.0
16	2	2022	7.0
15	2	2022	0.0
14	2	2022	0.0
13	2	2022	27.5
12	2	2022	33.5
11	2	2022	0.0
10	2	2022	0.0
9	2	2022	0.0
8	2	2022	0.0
7	2	2022	0.0
6	2	2022	7.5
5	2	2022	0.0
4	2	2022	0.0
3	2	2022	0.0
2	2	2022	83.5
1	2	2022	0.0
31	1	2022	0.0
30	1	2022	0.0
29	1	2022	0.0
28	1	2022	0.0
27	1	2022	0.0
26	1	2022	12.3
25	1	2022	0.0
24	1	2022	0.0
23	1	2022	0.0
22	1	2022	0.0
21	1	2022	0.0
20	1	2022	0.0
19	1	2022	0.0
18	1	2022	0.0
17	1	2022	0.0
16	1	2022	0.0
15	1	2022	0.0
14	1	2022	0.0
13	1	2022	0.0
12	1	2022	20.7
11	1	2022	10.3
10	1	2022	0.0
9	1	2022	53.0
8	1	2022	137.5
7	1	2022	0.0
6	1	2022	35.4
5	1	2022	7.6
4	1	2022	62.5
3	1	2022	0.0
2	1	2022	5.4
1	1	2022	63.0
31	12	2021	37.0
30	12	2021	30.0
29	12	2021	27.5
28	12	2021	0.0
27	12	2021	77.5
26	12	2021	0.0
25	12	2021	0.0
24	12	2021	12.5
23	12	2021	0.0
22	12	2021	30.0
21	12	2021	5.2
20	12	2021	7.3
19	12	2021	0.0
18	12	2021	13.4
17	12	2021	37.4
16	12	2021	0.0
15	12	2021	25.0
14	12	2021	0.0
13	12	2021	172.5
12	12	2021	0.0
11	12	2021	0.0
10	12	2021	0.0
9	12	2021	0.0
8	12	2021	0.0
7	12	2021	19.2
6	12	2021	37.4
5	12	2021	27.3
4	12	2021	70.5
3	12	2021	22.4
2	12	2021	0.0
1	12	2021	6.4
30	11	2021	7.6
29	11	2021	0.0
28	11	2021	20.6
27	11	2021	12.5
26	11	2021	0.0
25	11	2021	0.0
24	11	2021	0.0
23	11	2021	11.5
22	11	2021	0.0
21	11	2021	28.2
20	11	2021	0.0
19	11	2021	23.7
18	11	2021	0.0
17	11	2021	0.0
16	11	2021	0.0
15	11	2021	0.0
14	11	2021	0.0
13	11	2021	38.3
12	11	2021	23.6
11	11	2021	15.4
10	11	2021	0.0
9	11	2021	0.0
8	11	2021	0.0
7	11	2021	21.3
6	11	2021	0.0
5	11	2021	15.4
4	11	2021	12.3
3	11	2021	0.0
2	11	2021	0.0
1	11	2021	7.5
31	10	2021	27.6
30	10	2021	12.4
29	10	2021	0.0
28	10	2021	0.0
27	10	2021	0.0
26	10	2021	0.0
25	10	2021	0.0
24	10	2021	0.0
23	10	2021	0.0
22	10	2021	0.0
21	10	2021	9.8
20	10	2021	0.0
19	10	2021	14.7
18	10	2021	0.0
17	10	2021	0.0
16	10	2021	0.0
15	10	2021	25.9
14	10	2021	0.0
13	10	2021	0.0
12	10	2021	45.6
11	10	2021	6.4
10	10	2021	0.0
9	10	2021	0.0
8	10	2021	0.0
7	10	2021	0.0
6	10	2021	0.0
5	10	2021	0.0
4	10	2021	0.0
3	10	2021	0.0
2	10	2021	0.0
1	10	2021	0.0
30	9	2021	0.0
29	9	2021	0.0
28	9	2021	0.0
27	9	2021	0.0
26	9	2021	0.0
25	9	2021	0.0
24	9	2021	0.0
23	9	2021	0.0
22	9	2021	0.0
21	9	2021	0.0
20	9	2021	0.0
19	9	2021	0.0
18	9	2021	0.0
17	9	2021	0.0
16	9	2021	0.0
15	9	2021	0.0
14	9	2021	0.0
13	9	2021	0.0
12	9	2021	0.0
11	9	2021	0.0
10	9	2021	0.0
9	9	2021	0.0
8	9	2021	0.0
7	9	2021	0.0
6	9	2021	0.0
5	9	2021	0.0
4	9	2021	0.0
3	9	2021	0.0
2	9	2021	0.0
1	9	2021	0.0
31	8	2021	0.0
30	8	2021	0.0
29	8	2021	0.0
28	8	2021	0.0
27	8	2021	0.0
26	8	2021	0.0
25	8	2021	0.0
24	8	2021	0.0
23	8	2021	0.0
22	8	2021	0.0
21	8	2021	0.0
20	8	2021	0.0
19	8	2021	0.0
18	8	2021	0.0
17	8	2021	0.0
16	8	2021	0.0
15	8	2021	0.0
14	8	2021	0.0
13	8	2021	0.0
12	8	2021	0.0
11	8	2021	0.0
10	8	2021	0.0
9	8	2021	0.0
8	8	2021	0.0
7	8	2021	0.0
6	8	2021	0.0
5	8	2021	0.0
4	8	2021	0.0
3	8	2021	0.0
2	8	2021	0.0
1	8	2021	0.0
31	7	2021	0.0
30	7	2021	0.0
29	7	2021	0.0
28	7	2021	0.0
27	7	2021	0.0
26	7	2021	0.0
25	7	2021	0.0
24	7	2021	0.0
23	7	2021	0.0
22	7	2021	0.0
21	7	2021	0.0
20	7	2021	0.0
19	7	2021	0.0
18	7	2021	0.0
17	7	2021	0.0
16	7	2021	0.0
15	7	2021	0.0
14	7	2021	0.0
13	7	2021	0.0
12	7	2021	0.0
11	7	2021	0.0
10	7	2021	0.0
9	7	2021	0.0
8	7	2021	0.0
7	7	2021	0.0
6	7	2021	0.0
5	7	2021	0.0
4	7	2021	0.0
3	7	2021	0.0
2	7	2021	0.0
1	7	2021	0.0
30	6	2021	0.0
29	6	2021	0.0
28	6	2021	0.0
27	6	2021	0.0
26	6	2021	0.0
25	6	2021	0.0
24	6	2021	0.0
23	6	2021	0.0
22	6	2021	0.0
21	6	2021	0.0
20	6	2021	0.0
19	6	2021	0.0
18	6	2021	0.0
17	6	2021	0.0
16	6	2021	0.0
15	6	2021	0.0
14	6	2021	0.0
13	6	2021	0.0
12	6	2021	0.0
11	6	2021	0.0
10	6	2021	0.0
9	6	2021	0.0
8	6	2021	0.0
7	6	2021	0.0
6	6	2021	0.0
5	6	2021	0.0
4	6	2021	0.0
3	6	2021	0.0
2	6	2021	0.0
1	6	2021	0.0
31	5	2021	0.0
30	5	2021	0.0
29	5	2021	0.0
28	5	2021	0.0
27	5	2021	0.0
26	5	2021	0.0
25	5	2021	0.0
24	5	2021	0.0
23	5	2021	0.0
22	5	2021	0.0
21	5	2021	0.0
20	5	2021	0.0
19	5	2021	0.0
18	5	2021	0.0
17	5	2021	0.0
16	5	2021	0.0
15	5	2021	0.0
14	5	2021	0.0
13	5	2021	0.0
12	5	2021	0.0
11	5	2021	0.0
10	5	2021	0.0
9	5	2021	0.0
8	5	2021	0.0
7	5	2021	0.0
6	5	2021	0.0
5	5	2021	0.0
4	5	2021	0.0
3	5	2021	0.0
2	5	2021	0.0
1	5	2021	0.0
30	4	2021	3.0
29	4	2021	12.0
28	4	2021	0.0
27	4	2021	0.0
26	4	2021	0.0
25	4	2021	0.0
24	4	2021	0.0
23	4	2021	0.0
22	4	2021	0.0
21	4	2021	0.0
20	4	2021	0.0
19	4	2021	7.0
18	4	2021	0.0
17	4	2021	0.0
16	4	2021	0.0
15	4	2021	0.0
14	4	2021	0.0
13	4	2021	0.0
12	4	2021	0.0
11	4	2021	0.0
10	4	2021	0.0
9	4	2021	0.0
8	4	2021	0.0
7	4	2021	5.0
6	4	2021	0.0
5	4	2021	0.0
4	4	2021	0.0
3	4	2021	4.0
2	4	2021	0.0
1	4	2021	0.0
31	3	2021	0.0
30	3	2021	0.0
29	3	2021	0.0
28	3	2021	0.0
27	3	2021	0.0
26	3	2021	0.0
25	3	2021	0.0
24	3	2021	0.0
23	3	2021	0.0
22	3	2021	0.0
21	3	2021	0.0
20	3	2021	0.0
19	3	2021	0.0
18	3	2021	0.0
17	3	2021	0.0
16	3	2021	0.0
15	3	2021	0.0
14	3	2021	0.0
13	3	2021	0.0
12	3	2021	0.0
11	3	2021	0.0
10	3	2021	0.0
9	3	2021	4.7
8	3	2021	0.0
7	3	2021	0.0
6	3	2021	0.0
5	3	2021	0.0
4	3	2021	0.0
3	3	2021	0.0
2	3	2021	0.0
1	3	2021	7.0
28	2	2021	0.0
27	2	2021	79.5
26	2	2021	32.5
25	2	2021	0.0
24	2	2021	0.0
23	2	2021	0.0
22	2	2021	35.6
21	2	2021	0.0
20	2	2021	11.5
19	2	2021	0.0
18	2	2021	37.5
17	2	2021	0.0
16	2	2021	31.4
15	2	2021	0.0
14	2	2021	0.0
13	2	2021	0.0
12	2	2021	0.0
11	2	2021	13.5
10	2	2021	0.0
9	2	2021	1.3
8	2	2021	112.4
7	2	2021	81.8
6	2	2021	51.3
5	2	2021	0.0
4	2	2021	0.0
3	2	2021	0.0
2	2	2021	3.4
1	2	2021	0.0
31	1	2021	0.0
30	1	2021	0.0
29	1	2021	0.0
28	1	2021	0.0
27	1	2021	0.0
26	1	2021	0.0
25	1	2021	0.0
24	1	2021	0.0
23	1	2021	0.0
22	1	2021	0.0
21	1	2021	4.2
20	1	2021	0.0
19	1	2021	0.0
18	1	2021	0.0
17	1	2021	0.0
16	1	2021	0.0
15	1	2021	0.0
14	1	2021	0.0
13	1	2021	0.0
12	1	2021	0.0
11	1	2021	0.0
10	1	2021	0.0
9	1	2021	0.0
8	1	2021	0.0
7	1	2021	0.0
6	1	2021	0.0
5	1	2021	0.0
4	1	2021	49.3
3	1	2021	0.0
2	1	2021	4.2
1	1	2021	0.0
31	12	2020	0.0
30	12	2020	0.0
29	12	2020	0.0
28	12	2020	0.0
27	12	2020	0.0
26	12	2020	0.0
25	12	2020	0.0
24	12	2020	5.4
23	12	2020	0.0
22	12	2020	16.3
21	12	2020	7.5
20	12	2020	4.3
19	12	2020	1.1
18	12	2020	0.0
17	12	2020	0.0
16	12	2020	0.0
15	12	2020	0.0
14	12	2020	0.0
13	12	2020	0.0
12	12	2020	0.0
11	12	2020	62.3
10	12	2020	0.0
9	12	2020	37.3
8	12	2020	0.0
7	12	2020	0.0
6	12	2020	8.1
5	12	2020	0.0
4	12	2020	2.1
3	12	2020	0.0
2	12	2020	0.0
1	12	2020	0.0
30	11	2020	0.0
29	11	2020	0.0
28	11	2020	0.0
27	11	2020	0.0
26	11	2020	0.0
25	11	2020	0.0
24	11	2020	0.0
23	11	2020	0.0
22	11	2020	0.0
21	11	2020	0.0
20	11	2020	10.0
19	11	2020	43.0
18	11	2020	0.0
17	11	2020	5.0
16	11	2020	0.0
15	11	2020	0.0
14	11	2020	30.0
13	11	2020	0.0
12	11	2020	0.0
11	11	2020	0.0
10	11	2020	0.0
9	11	2020	0.0
8	11	2020	0.0
7	11	2020	0.0
6	11	2020	0.0
5	11	2020	0.0
4	11	2020	0.0
3	11	2020	0.0
2	11	2020	0.0
1	11	2020	48.0
31	10	2020	13.0
30	10	2020	0.0
29	10	2020	2.0
28	10	2020	0.0
27	10	2020	3.0
26	10	2020	10.0
25	10	2020	0.0
24	10	2020	0.0
23	10	2020	0.0
22	10	2020	7.0
21	10	2020	0.0
20	10	2020	0.0
19	10	2020	5.0
18	10	2020	0.0
17	10	2020	0.0
16	10	2020	0.0
15	10	2020	0.0
14	10	2020	0.0
13	10	2020	0.0
12	10	2020	0.0
11	10	2020	0.0
10	10	2020	0.0
9	10	2020	0.0
8	10	2020	0.0
7	10	2020	0.0
6	10	2020	0.0
5	10	2020	0.0
4	10	2020	0.0
3	10	2020	0.0
2	10	2020	0.0
1	10	2020	0.0
30	9	2020	0.0
29	9	2020	0.0
28	9	2020	0.0
27	9	2020	0.0
26	9	2020	0.0
25	9	2020	0.0
24	9	2020	0.0
23	9	2020	0.0
22	9	2020	0.0
21	9	2020	0.0
20	9	2020	0.0
19	9	2020	0.0
18	9	2020	0.0
17	9	2020	0.0
16	9	2020	0.0
15	9	2020	0.0
14	9	2020	0.0
13	9	2020	0.0
12	9	2020	0.0
11	9	2020	0.0
10	9	2020	0.0
9	9	2020	0.0
8	9	2020	0.0
7	9	2020	0.0
6	9	2020	0.0
5	9	2020	0.0
4	9	2020	0.0
3	9	2020	0.0
2	9	2020	0.0
1	9	2020	0.0
1	7	2020	
30	6	2020	0.0
29	6	2020	0.0
28	6	2020	0.0
27	6	2020	0.0
26	6	2020	0.0
25	6	2020	0.0
24	6	2020	0.0
23	6	2020	0.0
22	6	2020	0.0
21	6	2020	0.0
20	6	2020	0.0
19	6	2020	0.0
18	6	2020	0.0
17	6	2020	0.0
16	6	2020	0.0
15	6	2020	0.0
14	6	2020	0.0
13	6	2020	0.0
12	6	2020	0.0
11	6	2020	0.0
10	6	2020	0.0
9	6	2020	0.0
8	6	2020	0.0
7	6	2020	0.0
6	6	2020	0.0
5	6	2020	0.0
4	6	2020	0.0
3	6	2020	0.0
2	6	2020	0.0
1	6	2020	0.0
31	5	2020	0.0
30	5	2020	0.0
29	5	2020	0.0
28	5	2020	0.0
27	5	2020	0.0
26	5	2020	0.0
25	5	2020	0.0
24	5	2020	0.0
23	5	2020	0.0
22	5	2020	0.0
21	5	2020	0.0
20	5	2020	0.0
19	5	2020	0.0
18	5	2020	0.0
17	5	2020	0.0
16	5	2020	0.0
15	5	2020	0.0
14	5	2020	0.0
13	5	2020	0.0
12	5	2020	0.0
11	5	2020	0.0
10	5	2020	3.0
9	5	2020	0.0
8	5	2020	0.0
7	5	2020	0.0
6	5	2020	0.0
5	5	2020	0.0
4	5	2020	0.0
3	5	2020	0.0
2	5	2020	0.0
1	5	2020	0.0
30	4	2020	0.0
29	4	2020	0.0
28	4	2020	0.0
27	4	2020	0.0
26	4	2020	0.0
25	4	2020	0.0
24	4	2020	0.0
23	4	2020	0.0
22	4	2020	0.0
21	4	2020	0.0
20	4	2020	0.0
19	4	2020	0.0
18	4	2020	0.0
17	4	2020	0.0
16	4	2020	74.0
15	4	2020	0.0
14	4	2020	0.0
13	4	2020	0.0
12	4	2020	0.0
11	4	2020	0.0
10	4	2020	0.0
9	4	2020	0.0
8	4	2020	0.0
7	4	2020	0.0
6	4	2020	0.0
5	4	2020	5.0
4	4	2020	0.0
3	4	2020	0.0
2	4	2020	0.0
1	4	2020	0.0
31	3	2020	0.0
30	3	2020	0.0
29	3	2020	0.0
28	3	2020	0.0
27	3	2020	0.0
26	3	2020	0.0
25	3	2020	4.0
24	3	2020	0.0
23	3	2020	0.0
22	3	2020	14.0
21	3	2020	0.0
20	3	2020	0.0
19	3	2020	10.0
18	3	2020	0.0
17	3	2020	0.0
16	3	2020	0.0
15	3	2020	0.0
14	3	2020	0.0
13	3	2020	14.0
12	3	2020	0.0
11	3	2020	0.0
10	3	2020	0.0
9	3	2020	0.0
8	3	2020	0.0
7	3	2020	0.0
6	3	2020	7.0
5	3	2020	12.0
4	3	2020	16.0
3	3	2020	0.0
2	3	2020	20.0
1	3	2020	12.8
29	2	2020	55.0
28	2	2020	0.0
27	2	2020	0.0
26	2	2020	0.0
25	2	2020	0.0
24	2	2020	0.0
23	2	2020	23.0
22	2	2020	0.0
21	2	2020	0.0
20	2	2020	0.0
19	2	2020	0.0
18	2	2020	0.0
17	2	2020	0.0
16	2	2020	0.0
15	2	2020	0.0
14	2	2020	0.0
13	2	2020	0.0
12	2	2020	3.0
11	2	2020	0.0
10	2	2020	3.0
9	2	2020	3.0
8	2	2020	12.0
7	2	2020	0.0
6	2	2020	0.0
5	2	2020	43.0
4	2	2020	0.0
3	2	2020	0.0
2	2	2020	0.0
1	2	2020	0.0
31	1	2020	0.0
30	1	2020	0.0
29	1	2020	0.0
28	1	2020	0.0
27	1	2020	0.0
26	1	2020	18.0
25	1	2020	23.0
24	1	2020	14.0
23	1	2020	113.0
22	1	2020	9.0
21	1	2020	42.0
20	1	2020	0.0
19	1	2020	12.0
18	1	2020	0.0
17	1	2020	0.0
16	1	2020	0.0
15	1	2020	0.0
14	1	2020	0.0
13	1	2020	0.0
12	1	2020	10.0
11	1	2020	0.0
10	1	2020	0.0
9	1	2020	47.0
8	1	2020	0.0
7	1	2020	0.0
6	1	2020	0.0
5	1	2020	0.0
4	1	2020	8.0
3	1	2020	49.0
2	1	2020	32.0
1	1	2020	64.0
31	12	2019	0.0
30	12	2019	0.0
29	12	2019	0.0
28	12	2019	0.0
27	12	2019	0.0
26	12	2019	0.0
25	12	2019	0.0
24	12	2019	5.0
23	12	2019	2.0
22	12	2019	0.0
21	12	2019	0.0
20	12	2019	0.0
19	12	2019	0.0
18	12	2019	0.0
17	12	2019	0.0
16	12	2019	0.0
15	12	2019	0.0
14	12	2019	0.0
13	12	2019	0.0
12	12	2019	0.0
11	12	2019	0.0
10	12	2019	0.0
9	12	2019	0.0
8	12	2019	5.0
7	12	2019	14.0
6	12	2019	0.0
5	12	2019	12.0
4	12	2019	1.0
3	12	2019	15.0
2	12	2019	9.0
1	12	2019	0.0
30	11	2019	0.0
29	11	2019	26.0
28	11	2019	0.0
27	11	2019	2.0
26	11	2019	2.0
25	11	2019	0.0
24	11	2019	29.0
23	11	2019	0.0
22	11	2019	0.0
21	11	2019	15.0
20	11	2019	0.0
19	11	2019	0.0
18	11	2019	35.0
17	11	2019	0.0
16	11	2019	0.0
15	11	2019	27.0
14	11	2019	0.0
13	11	2019	0.0
12	11	2019	0.0
11	11	2019	0.0
10	11	2019	0.0
9	11	2019	0.0
8	11	2019	0.0
7	11	2019	0.0
6	11	2019	20.0
5	11	2019	0.0
4	11	2019	0.0
3	11	2019	0.0
2	11	2019	8.0
1	11	2019	12.0
31	10	2019	0.0
30	10	2019	0.0
29	10	2019	0.0
28	10	2019	0.0
27	10	2019	0.0
26	10	2019	0.0
25	10	2019	0.0
24	10	2019	0.0
23	10	2019	5.0
22	10	2019	1.0
21	10	2019	0.0
20	10	2019	0.0
19	10	2019	0.0
18	10	2019	0.0
17	10	2019	0.0
16	10	2019	0.0
15	10	2019	0.0
14	10	2019	0.0
13	10	2019	0.0
12	10	2019	0.0
11	10	2019	0.0
10	10	2019	0.0
9	10	2019	0.0
8	10	2019	0.0
7	10	2019	0.0
6	10	2019	0.0
5	10	2019	0.0
4	10	2019	0.0
3	10	2019	0.0
2	10	2019	0.0
1	10	2019	0.0
30	9	2019	0.0
29	9	2019	0.0
28	9	2019	9.0
27	9	2019	1.0
26	9	2019	1.0
25	9	2019	0.0
24	9	2019	0.0
23	9	2019	0.0
22	9	2019	0.0
21	9	2019	0.0
20	9	2019	0.0
19	9	2019	0.0
18	9	2019	0.0
17	9	2019	0.0
16	9	2019	0.0
15	9	2019	0.0
14	9	2019	0.0
13	9	2019	0.0
12	9	2019	0.0
11	9	2019	0.0
10	9	2019	0.0
9	9	2019	0.0
8	9	2019	0.0
7	9	2019	0.0
6	9	2019	0.0
5	9	2019	0.0
4	9	2019	0.0
3	9	2019	0.0
2	9	2019	0.0
1	9	2019	0.0
31	8	2019	0.0
30	8	2019	0.0
29	8	2019	0.0
28	8	2019	0.0
27	8	2019	0.0
26	8	2019	0.0
25	8	2019	0.0
24	8	2019	0.0
23	8	2019	0.0
22	8	2019	0.0
21	8	2019	0.0
20	8	2019	0.0
19	8	2019	0.0
18	8	2019	0.0
17	8	2019	0.0
16	8	2019	0.0
15	8	2019	0.0
14	8	2019	0.0
13	8	2019	0.0
12	8	2019	0.0
11	8	2019	0.0
10	8	2019	0.0
9	8	2019	0.0
8	8	2019	0.0
7	8	2019	0.0
6	8	2019	0.0
5	8	2019	0.0
4	8	2019	0.0
3	8	2019	0.0
2	8	2019	0.0
1	8	2019	0.0
31	7	2019	0.0
30	7	2019	0.0
29	7	2019	0.0
28	7	2019	0.0
27	7	2019	0.0
26	7	2019	0.0
25	7	2019	0.0
24	7	2019	0.0
23	7	2019	0.0
22	7	2019	0.0
21	7	2019	0.0
20	7	2019	0.0
19	7	2019	0.0
18	7	2019	0.0
17	7	2019	0.0
16	7	2019	0.0
15	7	2019	0.0
14	7	2019	0.0
13	7	2019	0.0
12	7	2019	0.0
11	7	2019	0.0
10	7	2019	0.0
9	7	2019	0.0
8	7	2019	0.0
7	7	2019	0.0
6	7	2019	0.0
5	7	2019	0.0
4	7	2019	0.0
3	7	2019	0.0
2	7	2019	0.0
1	7	2019	0.0
30	6	2019	0.0
29	6	2019	0.0
28	6	2019	0.0
27	6	2019	0.0
26	6	2019	0.0
25	6	2019	0.0
24	6	2019	0.0
23	6	2019	0.0
22	6	2019	0.0
21	6	2019	0.0
20	6	2019	0.0
19	6	2019	0.0
18	6	2019	0.0
17	6	2019	0.0
16	6	2019	0.0
15	6	2019	0.0
14	6	2019	0.0
13	6	2019	0.0
12	6	2019	0.0
11	6	2019	0.0
